Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
  2014,3.893,3.984,4.001,3.964,3.943,3.906,3.884,3.838,3.792,3.681,3.647,3.411
  2015,2.997,2.858,2.897,2.782,2.888,2.873,2.788,2.595,2.505,2.519,2.467,2.31
  2016,2.143,1.998,2.09,2.152,2.315,2.423,2.405,2.351,2.394,2.454,2.439,2.51
  2017,2.58,2.568,2.554,2.583,2.56,2.511,2.496,2.595,2.785,2.794,2.909,2.909
  2018,3.018,3.046,2.988,3.096,3.244,3.253,3.233,3.218,3.262,3.365,3.3,3.123
  2019,2.98,2.997,3.076,3.121,3.161,3.089,3.045,3.005,3.016,3.053,3.069,3.055
  2020,3.048,2.91,2.729,2.493,2.392,2.408,2.434,2.429,2.414,2.389,2.432,2.585
  2021,2.681,2.847,3.152,3.13,3.217,3.287,3.339,3.35,3.384,3.612,3.727,3.641
  2022,3.724,4.032,5.105,5.12,5.571,5.754,5.486,5.013,4.993,5.211,5.255,4.714
  2023,4.576,4.413,4.211,4.099,3.915,3.802,3.882,4.37,4.563,4.507,4.254,3.972
  2024,3.854,4.044,4.022,4.002,3.822,3.722,3.81,3.7,3.558,3.585,3.522,
